,addresse,prix,date_vente,details
59,"18 RUE ABBE HOUEL
93230 ROMAINVILLE","565 000€
7 338€/m²","Vendu le 19/01/2018
Analyser ce bien",Maison 4 pièces77m²153m²
60,"27 RUE BLANCHE
93100 MONTREUIL","435 000€
5 438€/m²","Vendu le 03/01/2018
Analyser ce bien",Maison 5 pièces80m²239m²
61,"18 RUE WEBER
75016 PARIS","594 000€
2 070€/m²","Vendu le 29/12/2017
Analyser ce bien",Maison 7 pièces287m²200m²
62,"23 RUE DANTON
93310 LE PRÉ-SAINT-GERVAIS","2 053 942€*
37 344€/m²","Vendu le 28/12/2017
Analyser ce bien",Maison 3 pièces55m²758m²*
63,"46 RUE DESIRE VIENOT
93170 BAGNOLET","446 950€
6 984€/m²","Vendu le 19/12/2017
Analyser ce bien",Maison 2 pièces64m²140m²
64,"42 PL HENRI SELLIER
93310 LE PRÉ-SAINT-GERVAIS","430 000€
7 818€/m²","Vendu le 23/10/2017
Analyser ce bien",Maison 3 pièces55m²164m²
65,"29 RUE DES MESSIERS
93100 MONTREUIL","549 000€
6 459€/m²","Vendu le 19/10/2017
Analyser ce bien",Maison 4 pièces85m²107m²
66,"58 RUE DE BENFLEET
93230 ROMAINVILLE","350 000€
4 605€/m²","Vendu le 09/10/2017
Analyser ce bien",Maison 4 pièces76m²570m²
67,"8 RUE DE CHAMBERY
75015 PARIS","1 220 000€
9 385€/m²","Vendu le 29/09/2017
Analyser ce bien",Maison 2 pièces130m²0m²
68,"96 RUE PAUL DE KOCK
93230 ROMAINVILLE","94 222€*
5 889€/m²","Vendu le 22/09/2017
Analyser ce bien",Maison 1 pièce16m²83m²*
69,"34 RUE BENJAMIN DELESSERT
93500 PANTIN","450 000€
7 895€/m²","Vendu le 21/09/2017
Analyser ce bien",Maison 4 pièces57m²106m²
70,"19 RUE REMY DE GOURMONT
75019 PARIS","2 455 000€
24 307€/m²","Vendu le 15/09/2017
Analyser ce bien",Maison 3 pièces101m²219m²
71,"105 RUE DIDOT
75014 PARIS","850 000€
12 143€/m²","Vendu le 13/09/2017
Analyser ce bien",Maison 3 pièces70m²0m²
72,"28 RUE DE REIMS
94700 MAISONS-ALFORT","660 000€
5 500€/m²","Vendu le 29/08/2017
Analyser ce bien",Maison 5 pièces120m²459m²
73,"10 RUE CARON
92240 MALAKOFF","1 227 900€
8 186€/m²","Vendu le 04/08/2017
Analyser ce bien",Maison 4 pièces150m²204m²
74,"141 RUE JEAN BAPTISTE CHARCOT
92400 COURBEVOIE","925 000€
7 906€/m²","Vendu le 28/07/2017
Analyser ce bien",Maison 5 pièces117m²0m²
75,"44 RUE DE LORRAINE
94700 MAISONS-ALFORT","354 689€*
3 315€/m²","Vendu le 08/06/2017
Analyser ce bien",Maison 3 pièces107m²154m²*
76,"43A AV SIMON BOLIVAR
75019 PARIS","775 000€
9 012€/m²","Vendu le 01/06/2017
Analyser ce bien",Maison 3 pièces86m²0m²
77,"6 AV DE GRAVELLE
94220 CHARENTON-LE-PONT","940 000€
9 895€/m²","Vendu le 30/05/2017
Analyser ce bien",Maison 3 pièces95m²384m²
78,"21 RUE DU COQ FRANCAIS
93260 LES LILAS","825 000€
4 412€/m²","Vendu le 24/05/2017
Analyser ce bien",Maison 6 pièces187m²0m²
79,"11 RUE DE BENFLEET
93230 ROMAINVILLE","260 000€
4 906€/m²","Vendu le 11/05/2017
Analyser ce bien",Maison 3 pièces53m²133m²
80,"214 BD SAINT DENIS
92400 COURBEVOIE","700 000€
7 143€/m²","Vendu le 09/05/2017
Analyser ce bien",Maison 5 pièces98m²288m²
81,"2B RUE DU VERT BOIS
93100 MONTREUIL","530 050€
5 579€/m²","Vendu le 15/04/2017
Analyser ce bien",Maison 4 pièces95m²200m²
82,"14 RUE DE L EST
75020 PARIS","1 044 000€
8 220€/m²","Vendu le 14/04/2017
Analyser ce bien",Maison 4 pièces127m²107m²
83,"20 RUE LAFOUGE
94250 GENTILLY","1 077 000€
6 731€/m²","Vendu le 11/04/2017
Analyser ce bien",Maison 8 pièces160m²366m²
84,"227 RUE DE PARIS
93100 MONTREUIL","350 000€*
10 000€/m²","Vendu le 24/02/2017
Analyser ce bien",Maison 2 pièces35m²46m²*
85,"211B RUE DE LA CROIX NIVERT
75015 PARIS","1 032 000€
11 341€/m²","Vendu le 27/01/2017
Analyser ce bien",Maison 5 pièces91m²149m²
86,"48 RUE DU 22 SEPTEMBRE
92400 COURBEVOIE","748 500€
9 596€/m²","Vendu le 17/01/2017
Analyser ce bien",Maison 4 pièces78m²0m²
