,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
59,TRÈS BON ÉTAT,55,FRANCE,NIKE ,S,2022-04-02 14:25:07.149795,Pull Nike vintage,27.0,"Porté 1 fois 
Expédition rapide 👍"
60,BON ÉTAT,19,"VESQUEVILLE, BELGIQUE / BELGIË",VILA ,S / 36 / 8,2022-03-29 14:25:07.149797,Pull vila triangles gris,10.0,bon état
61,NEUF SANS ÉTIQUETTE,137,"LOUHANS, FRANCE",ADIDAS ORIGINALS ,M,2022-04-04 14:25:07.149800,Pull Adidas originals,25.0,"Pull Adidas originals neuf
Taille M
Taille juste
Matière ""sweat"""
62,BON ÉTAT,78,FRANCE,FENDI ,M / 38 / 10,2022-04-04 14:25:07.149802,Pull com roulé,90.0,pull col roulé fendi
63,NEUF AVEC ÉTIQUETTE,154,FRANCE,ZADIG & VOLTAIRE ,XS / 34 / 6,2022-03-31 14:25:07.149804,Pull Zadig & Voltaire Marlon XS - NEUF,230.0,"Neuf avec étiquette - jamais porté
Pull Marlon
Couleur Craie
boutons orange
taille XS
Prix d’origine : 315€

#zadigetvoltaire #zadig #zadigvoltaire #pull"
64,TRÈS BON ÉTAT,5,"PLOËRMEL, FRANCE",OKAÏDI ,14 ANS / 158-164 CM,2022-03-11 14:25:07.149807,Pull ras cou,5.0,matière fine et douce
65,NEUF SANS ÉTIQUETTE,86,"IXELLES, BELGIQUE / BELGIË",KENZO ,M / 38 / 10,2022-03-14 14:25:07.149810,Kenzo pull M,59.0,"jamais porté, impeccable, graphic, glitter, taille M"
66,BON ÉTAT,13,FRANCE,PHILDAR ,M / 38 / 10,2022-04-04 14:25:07.149812,Pull court Phildar,2.0,"Bon état 
Taille M"
67,BON ÉTAT,9,FRANCE,PREMIUM ,S / 36 / 8,2022-04-04 14:25:07.149814,Pull court Premium,1.5,"Bon état 
Taille S/M"
68,TRÈS BON ÉTAT,3,FRANCE,OKAÏDI ,4 ANS / 98-104 CM,2022-04-02 14:25:07.149817,Pull Okaidi,3.0,"Très bon état 
4 ans"
69,TRÈS BON ÉTAT,1,FRANCE,,9-12 MOIS / 74-80 CM,2022-04-04 14:25:07.149841,Pull 12 mois,2.0,"Excellent état 
Tout doux 
12 mois"
70,TRÈS BON ÉTAT,13,FRANCE,KIABI ,L / 40 / 12,2022-04-04 14:25:07.149847,Sweat Kiabi,3.0,"Très bon état 
Taille L"
71,TRÈS BON ÉTAT,50,"PARIS, FRANCE",NIKE ,S,2022-03-29 14:25:07.149851,Pull Nike authentique,31.0,"Pull Nike authentique :

- Condition : 9,5/10
- Taille : S
- Défauts : aucuns

Profitez d’une réduction si vous achetez en lot. ☺️



#nike #nikejogging #nikeswootch #nike2000 #vinted #vintedfrance #leplusrecent #tresbonetat #commeneuf #vintedaddict #nikehomme #nikestreet #cortez #tn #pullnike #sweatnike #pullàcapuchenike #commeneuf #vintedespagne #pullnike #sweatnike"
