,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
87,TRÈS BON ÉTAT,51,"CRÉCY-LA-CHAPELLE, FRANCE",BLANCHEPORTE ,XL / 42 / 14,2022-04-04 15:17:35.984568,jean bleu,12.0,"jean bleu taille 42 fermé par 4 boutons , 4 poches"
88,BON ÉTAT,117,FRANCE,MONKI ,S / 36 / 8,2022-04-04 15:17:35.984570,Jean taiki,15.0,"jean taille haute
 
je mesure 170 du coup il est un peu short pour moi

bon état

taille 27 ( çava pour un 36 ou petit 38)"
89,NEUF AVEC ÉTIQUETTE,176,"BEZONS, FRANCE",SHEIN ,S / 36 / 8,2022-04-04 15:17:35.984573,Jean marron style tie & dye,10.0,"jamais porté, trop large et long pour moi
taille bien, jolies couleurs, équivaut bien à un 36

vendu avec le sac Shein d'origine 
la dernière photo est celle de l'article sur le site"
90,TRÈS BON ÉTAT,111,"NEUILLY-SUR-SEINE, FRANCE",DIESEL ,M,2022-04-02 15:17:35.984575,Jean gris / Diesel,25.0,"Jean gris délavé. 
Effet abimé au niveau des genoux. 

Taille : W28 - L32
Coupe : Thommer - Skinny

État proche du neuf.
Porté 4 fois.

Ps : 184cm / 75kg."
91,TRÈS BON ÉTAT,182,"PARIS, FRANCE",MANGO ,XS / 34 / 6,2022-03-25 15:17:35.984578,Jean mom fit taille haute,15.0,"Jean mom fit bleu clair délavé, taille haute. Porté 1fois."
92,BON ÉTAT,6,"MONS-EN-BARŒUL, FRANCE",ZARA ,4 ANS / 98-104 CM,2022-03-21 15:17:35.984581,Jean garçon,2.0,Porter quelques fois
93,NEUF AVEC ÉTIQUETTE,51,"BREUILLET, FRANCE",LA PETITE FRANCAISE ,XS / 34 / 6,2022-03-23 15:17:35.984583,Jean la petite française,25.0,"jean slim bleu clair 
neuf"
94,TRÈS BON ÉTAT,324,"CALAIS, FRANCE",LEVI'S ,M / 38 / 10,2022-03-24 15:17:35.984586,Jean’s Lévis slight curveW30L30,25.0,"en très bon état 
largeur taille 38
longueur 99cm"
95,TRÈS BON ÉTAT,13,FRANCE,PLEASE ,M,2022-04-04 15:17:35.984588,Please noir,12.0,"excellent état
pour un 38 ou un 40"
96,NEUF SANS ÉTIQUETTE,4,FRANCE,JEWELLY ,M,2022-04-04 15:17:35.984591,Jean neuf,12.0,"neuf
slim
avec elasthanne"
97,NEUF SANS ÉTIQUETTE,209,FRANCE,ZNJ ,S / 36 / 8,2022-04-04 15:17:35.984593,Magnifique haut de soirée ZNJ,12.0,"une manche longue et une épaule nue. En satin. zip d un côté et lien pour me froncer si on le souhaite. arrive á la taille. l ourlet d un côté et défait, prévoir quelques points"
98,NEUF AVEC ÉTIQUETTE,89,FRANCE,CASA ,,2022-03-26 15:17:35.984596,Globe terrestre neuf,15.0,avec étiquette
99,NEUF SANS ÉTIQUETTE,81,FRANCE,ISABEL MARANT ,M / 38 / 10,2022-03-26 15:17:35.984598,Jupe neuve Isabel Marant,69.0,"Neuve 
100%soie
38 ou 36"
100,NEUF SANS ÉTIQUETTE,30,"BOUTIGNY-PROUAIS, FRANCE",ZEHOOD ,M / 38 / 10,2022-04-04 15:17:35.984601,Jean Zehood,25.0,Jean zehood neuf sans étiquette
