,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
42,BON ÉTAT,284,"PARIS 07, FRANCE",KENZO ,12 ANS / 146-152 CM,2022-05-06 19:40:52.011984,Lot de 2 t-shirts kenzo taille 12 ans,17.0,Portés quelques fois
43,NEUF SANS ÉTIQUETTE,55,"SAINT-PIERRE-DE-RIVIÈRE, FRANCE",KENZO ,XS,2022-05-09 19:40:52.011986,Polo Kenzo 🐯,60.0,"POLO KENZO 🛍

- Couleur : Gris et Col turquoise 🎨
- Condition : 10/10 ✅
- Taille : XS 📏
- Envoie le plus rapide possible 📦

Plus d'informations par messages 📩"
44,TRÈS BON ÉTAT,56,"PARIS, FRANCE",KENZO ,S,2022-05-12 19:40:52.011989,Polo Kenzo,50.0,Tout neuf taille S
45,BON ÉTAT,23,"HAINE-SAINT-PIERRE, BELGIQUE / BELGIË",KENZO ,S,2022-05-12 15:40:52.011991,T shirt Kenzo,10.0,"Bon état 
La couleur est parti du aux lavages"
46,TRÈS BON ÉTAT,13,FRANCE,KENZO ,12 ANS / 146-152 CM,2022-05-08 19:40:52.011994,Tee shirt KENZO,45.0,"Tee shirt KENZO blanc en taille : 12a
Très bon état : aucun défaut 
Prix NÉGOCIABLE"
47,BON ÉTAT,11,"BÉZIERS, FRANCE",KENZO ,S,2022-05-12 15:40:52.011997,T-shirt kenzo,25.0,T-shirt Kenzo porter quelques fois
48,NEUF AVEC ÉTIQUETTE,11,ITALIA,KENZO ,S,2022-05-12 16:40:52.011999,T-shirt Kenzo Paris,95.0,"Ancora con cartellino, causa errore taglia"
49,BON ÉTAT,70,"UCCLE, BELGIQUE / BELGIË",KENZO ,L / 40 / 12,2022-05-12 19:40:52.012002,T-shirt Kenzo Femme taille L,8.0,Taille petit
50,BON ÉTAT,32,"DORDRECHT, NEDERLAND",KENZO ,S,2022-05-12 13:40:52.012004,Kenzo t shirt,12.0,T shirt is oud. Verder altijd wel netjes mee omgegaan. T shirt valt normaal.
51,TRÈS BON ÉTAT,10,"APELDOORN, NEDERLAND",KENZO ,S,2022-05-12 16:40:52.012007,mannen T shirt kenzo,20.0,Amper gedragen maat s
52,TRÈS BON ÉTAT,4,"OVERDINKEL, NEDERLAND",KENZO ,S,2022-05-12 17:40:52.012009,Kenzo T shirt S,30.0,"Kenzo T shirt 
Maat: S
Amper gedragen
Nieuwprijs: 110€"
53,TRÈS BON ÉTAT,50,"SOMEREN, NEDERLAND",KENZO ,XS,2022-05-07 19:40:52.012012,Kenzo T-shirt XS,20.0,"Kenzo T-shirt XS

conditie 8/10"
54,TRÈS BON ÉTAT,18,"PAGNY-SUR-MOSELLE, FRANCE",KENZO ,S,2022-05-12 15:40:52.012015,Magnifique t-shirt Kenzo,30.0,Acheté 85 euros . Kenzo paris
55,NEUF SANS ÉTIQUETTE,41,"REFRONTOLO, ITALIA",KENZO ,XL,2022-05-10 19:40:52.012017,T shirt Kenzo,60.0,"Indossata poco, taglia XL ma veste come una L"
56,NEUF SANS ÉTIQUETTE,13,"OLORON-SAINTE-MARIE, FRANCE",KENZO ,S,2022-05-12 14:40:52.012020,T-shirt Kenzo œil Rouge,40.0,"👕 Taille S 
✅ Comme neuf 
❌ Pas d’échange 
📉 Négociable dans la limite du raisonnable"
57,TRÈS BON ÉTAT,13,"NICE, FRANCE",KENZO ,XL,2022-05-12 13:40:52.012022,T-shirt Kenzo,20.0,Très bonne état
