,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
47,NEUF SANS ÉTIQUETTE,21,"METZ, FRANCE",FRUIT OF THE LOOM ,XXXL,2022-04-04 18:58:12.711667,Tee shirt homme 3 XL,4.0,Tee shirt homme taille 3 xl neuf juste lave marque fruit off the loom bleu marine tres bonne qualite. STOCK 7 DISPOS
48,TRÈS BON ÉTAT,1,"FONSORBES, FRANCE",NEW YORKER ,L / 40 / 12,2022-04-04 11:58:12.711670,T-shirt uni,2.0,porté une seule fois
49,NEUF AVEC ÉTIQUETTE,48,"MORTAGNE-SUR-SÈVRE, FRANCE",SERGIO TACCHINI ,M,2022-04-04 18:58:12.711674,Tee-shirts Sergio tacchini bleu foncé,25.0,jamais porté
50,TRÈS BON ÉTAT,3,"AMBON, FRANCE",DU PAREIL AU MÊME ,8 ANS / 122-128 CM,2022-04-04 10:58:12.711677,T shirt uni blanc,1.0,Très bon état
51,TRÈS BON ÉTAT,47,"ALLOUAGNE, FRANCE",RALPH LAUREN ,S,2022-04-04 18:58:12.711680,Tee-shirt Ralph Lauren taille S,13.0,Je vends un tee-shirt Ralph Lauren taille S en bon état. Il est bleu . Je reste à votre disposition pour toute question complémentaire
52,NEUF AVEC ÉTIQUETTE,6,"OSTRICOURT, FRANCE",DIM ,16 ANS / 170-176 CM,2022-04-04 18:58:12.711683,lot de 3 t shirt uni noir dim coton biologique influx 16 ans XS S 34 36 fille femme,8.0,"lot de 3 t shirt unis noir 
1 dim taille 16 ans ou 164cm 
2 influx en coton biologique 16 ans ou 162cm 
neufs 
conviendra aussi a une femme taille 34 36 
maillot de corps"
53,TRÈS BON ÉTAT,39,"AUMETZ, FRANCE",THE KOOPLES ,M,2022-04-04 11:58:12.711686,T-shirt The Kooples blanc,45.0,"t-shirt the kooples, porté quelque fois, comme neuf, un crâne comme motif en haut à gauche du t-shirt
prix négociable"
54,NEUF SANS ÉTIQUETTE,6,FRANCE,CELIO ,L,2022-04-04 18:58:12.711689,T-shirt uni,4.0,Neuf - Jamais porté
55,NEUF SANS ÉTIQUETTE,186,"MESCHERS-SUR-GIRONDE, FRANCE",TOMMY HILFIGER ,XL,2022-04-04 18:58:12.711692,T-shirt tommy hilfiger,25.0,"porter 1 fois 
✅que par mondial relay ✅"
56,TRÈS BON ÉTAT,26,"CAP-D'AIL, FRANCE",NAF NAF ,M / 38 / 10,2022-04-02 18:58:12.711695,T-shirt avant fleuri dos uni Naf Naf taille M,10.0,"T-shirt manches courtes 
avant tissu fleuri
dos uni
marque Naf Naf
taille M
excellent état"
57,NEUF AVEC ÉTIQUETTE,152,"ANICHE, FRANCE",RALPH LAUREN ,L,2022-04-02 18:58:12.711698,T-shirt Ralph Lauren Rose Carmel taille L,37.4,"𝐁𝐢𝐞𝐧 𝐥𝐞 𝐛𝗼𝐧𝐣𝗼𝐮𝐫 ☁️

À vendre 

T-shirt en jersey col rond 
Ralph Lauren
Rose
L


N’hésitez pas à venir en privé. ✉️
Bonne fin de journée ☀️"
58,NEUF AVEC ÉTIQUETTE,23,FRANCE,JACK & JONES ,S,2022-04-04 18:58:12.711701,Lot Tee-shirt Jack & Jones neuf,25.0,"Lot de 3 tee-shirt Jack&Jones neuf taille S
Prix d achat 49 euros"
59,TRÈS BON ÉTAT,81,FRANCE,NIKE ,S,2022-04-04 18:58:12.711704,T-shirt nike bleu,20.0,"Salut toi !

Le soleil est de retour comme tu as pu voir, c’est pourquoi tu es en quête de t-shirt ;)) (on t’a cramé)

Ce t-shirt nike est parfait pour toi et comme neuf, je le vends aussi avec un autre t-shirt si vous êtes interessé par un lot !

Bon shopping !

mots-clés: #tshirt #nike #vintage #orange"
60,TRÈS BON ÉTAT,19,"BARCELONA, ESPAÑA",ZARA ,M,2022-04-02 18:58:12.711707,T-shirt uni noir Zara,10.0,"Excellent état.
Porte 1 fois 

Col rond ras du cou 
Taille M"
61,TRÈS BON ÉTAT,18,"TERGNIER, FRANCE",TISSAIA ,5 ANS / 104-110 CM,2022-04-02 18:58:12.711710,T-shirt blanc uni,1.0,Très peu porté
62,NEUF SANS ÉTIQUETTE,12,FRANCE,C&A ,XL / 42 / 14,2022-04-04 18:58:12.711712,T shirt uni prune neuf,4.0,"t shirt uni couleur prune avec motif fleur, en coton. taille XL, marque C&A, neuf jamais portè, col rond et manches courtes."
63,TRÈS BON ÉTAT,33,"CHANTILLY, FRANCE",LACOSTE ,S,2022-04-04 18:58:12.711715,T-shirt Lacoste,20.0,"T-shirt Lacoste gris
Col V
Taille S
Regular Fit
Très peu porté"
64,NEUF SANS ÉTIQUETTE,15,"QUIMPER, FRANCE",RALPH LAUREN ,S,2022-03-31 18:58:12.711718,T shirt Ralph Lauren bleu marine S,34.9,"taille s
neuf sans étiquette 

T shirt Ralph Lauren bleu marine"
65,TRÈS BON ÉTAT,4,"BORDS, FRANCE",LA HALLE ,4 ANS / 98-104 CM,2022-04-04 18:58:12.711721,T shirt uni,1.0,"Petit t shirt rose fushia 
Noté 5 ans mais taille un 4 ans d où le fait qu'il ait été peu porté"
66,SATISFAISANT,40,"GROSBREUIL, FRANCE",CAFÉ THÉATRE ,M / 38 / 10,2022-04-04 18:58:12.711723,Tee shirt,2.0,Satisfaisant. Manches longues. Usagé et un petit trou (voir photo)
67,BON ÉTAT,4,"GROSBREUIL, FRANCE",,8 ANS / 122-128 CM,2022-04-04 18:58:12.711726,Lot de débardeurs,3.0,"5 débardeurs divers motifs, bretelles réglables."
68,TRÈS BON ÉTAT,2,"GROSBREUIL, FRANCE",ORCHESTRA ,8 ANS / 122-128 CM,2022-04-04 18:58:12.711729,Teeshirt,2.0,porté mais TBE
69,BON ÉTAT,2,"GROSBREUIL, FRANCE",LISA ROSE ,8 ANS / 122-128 CM,2022-04-04 18:58:12.711731,TEE shirt,1.0,manches longues
70,TRÈS BON ÉTAT,4,"GROSBREUIL, FRANCE",OKAÏDI ,10 ANS / 134-140 CM,2022-04-04 18:58:12.711734,TEEshitr,2.0,peu porte. manches longues à sequins
71,NEUF AVEC ÉTIQUETTE,54,"PARIS, FRANCE",CALVIN KLEIN ,XL,2022-04-04 18:58:12.711737,T-shirt Blanc Regular Fit | Calvin Klein Jeans (neuf)👶,25.0,"★☆✦✧✩ 𝒜𝓂𝑒𝓁𝑀𝑜𝒹𝑒𝒳𝑜𝒳𝑜 ✩✧✦☆★
PROMO DU JOUR🪁

CALVIN KLEIN JEANS
T-shirt Blanc Regular Fit

• Taille XL

Pour tout complètement d'information, n'hésitez pas à me contacter en mp. ☺️


#CalvinKlein #CalvinKleinJeans #Tshirt #Blanc #white #uni #RegularFit #TailleXl #Unisexe #femme"
72,TRÈS BON ÉTAT,88,"PARIS 04, FRANCE",STONE ISLAND ,XXL,2022-04-04 18:58:12.711740,Stone Island | T-Shirt,60.0,"Size: XXL
Quality: 8/10 (mini hole on front) 
Color: Orange 
If you have a question - please ask!✍🏼"
73,TRÈS BON ÉTAT,89,"SAINT-GERMAIN-EN-LAYE, FRANCE",DIESEL ,M,2022-03-28 18:58:12.711749,T-shirt Diesel,6.0,"t-shirt porté très rarement, en très bonne état aucune dégradation."
74,NEUF SANS ÉTIQUETTE,22,"METZ, FRANCE",FRUIT OF THE LOOM ,XXXL,2022-04-04 18:58:12.711753,Tee shirt homme 3 XL,4.0,Tee shirt homme taille 3 xl neuf juste lave marque fruit off the loom bleu marine tres bonne qualite. STOCK 7 DISPOS
75,TRÈS BON ÉTAT,18,"MONTFERMEIL, FRANCE",ETAM ,L / 40 / 12,2022-04-01 18:58:12.711756,T shirt uni marine taille L Etam,2.5,"Dimensions longueur milieu dos jusqu'en bas 61,5 cm largeur d'aisselle à aisselle 42 cm sans étirement. Matière 95 % viscose et 5% elastane. Très doux au toucher, agréable et confortable à porter. Par lot ➖ 15 % et moins de frais de port à payer."
76,NEUF AVEC ÉTIQUETTE,241,"BOULOGNE-BILLANCOURT, FRANCE",DEUS ,M,2022-03-14 18:58:12.711760,T shirt Deus,25.0,"hello
je vends ce t shirt neuf avec étiquette 
taille M"
77,NEUF AVEC ÉTIQUETTE,49,"MORTAGNE-SUR-SÈVRE, FRANCE",SERGIO TACCHINI ,M,2022-04-04 18:58:12.711763,Tee-shirts Sergio tacchini bleu foncé,25.0,jamais porté
78,TRÈS BON ÉTAT,2,"RÉALVILLE, FRANCE",DOMYOS ,14 ANS / 158-164 CM,2022-04-04 18:58:12.711766,T-shirt uni,1.0,"en très bon état 
il est de couleur violet très clair"
79,NEUF AVEC ÉTIQUETTE,9,"BELLIGNAT, FRANCE",INTERSPORT ,6 ANS / 110-116 CM,2022-04-02 18:58:12.711769,T-shirt uni rouge,1.75,"T-shirt uni rouge 6 ans Intersport
Erreur de taille à l'achat"
80,NEUF SANS ÉTIQUETTE,187,"MESCHERS-SUR-GIRONDE, FRANCE",TOMMY HILFIGER ,XL,2022-04-04 18:58:12.711772,T-shirt tommy hilfiger,25.0,"porter 1 fois 
✅que par mondial relay ✅"
81,BON ÉTAT,203,FRANCE,NIKE AIR ,M,2022-04-04 18:58:12.711774,T-shirt,8.0,Déjà porté
