,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
40,TRÈS BON ÉTAT,75,"MANDUEL, FRANCE",PANDORA ,AJUSTABLE,2022-05-12 19:43:48.211157,Charm Pandora fleur,19.0,Vend très beau charme Pandora fleur en argent
41,NEUF SANS ÉTIQUETTE,100,"MANDUEL, FRANCE",KIABI ,XXL / 44 / 16,2022-05-12 19:43:48.211160,Superbe veste style perfecto,20.0,"Superbe veste vieux rose totalement doublée ttres chaude, état neuf taille 44"
42,NEUF SANS ÉTIQUETTE,167,"MILANO, ITALIA",LACOSTE ,M,2022-05-08 19:43:48.211163,polo lacoste,20.0,polo lacoste maniche lunghe
43,BON ÉTAT,264,"ROUEN, FRANCE",LACOSTE ,XL,2022-05-09 19:43:48.211166,Polo Lacoste,15.0,"Polo Lacoste

- Taille: XL/6📏
- Couleur: rose 
- Dimension: largeur: 57 cm Longueur: 69 cm
- Composition: 100% coton
- En état, taches en photos

Vêtement de seconde main👕

Envoie rapide (sous 48h)📦

Pour plus de renseignements ne pas hésiter à envoyer un message. 📥"
44,NEUF AVEC ÉTIQUETTE,175,"ROANNE, FRANCE",LACOSTE ,XL,2022-05-12 08:43:48.211169,T-shirt Lacoste,40.0,"T-shirt Lacoste taille 6 (XL), slim fit"
45,TRÈS BON ÉTAT,162,"POMPONNE, FRANCE",LACOSTE ,XS,2022-05-12 19:43:48.211172,T-shirt lacoste,15.0,T-shirt Lacoste
46,TRÈS BON ÉTAT,91,FRANCE,LACOSTE ,S,2022-05-11 23:43:48.211175,T Shirt Lacoste noir collection Tennis Novak Djokovic,30.0,"T shirt quasiment jamais porté car trop petit.

Je tiens à préciser , aucune contrefaçon n'est vendu je vous invite à vérifier de vous même auprès des magasins."
47,TRÈS BON ÉTAT,24,"LENS, FRANCE",LACOSTE ,XL,2022-05-12 19:43:48.211178,T-shirt Lacoste,20.0,Vend t-shirt Lacoste porté quelque fois en très bon état
48,TRÈS BON ÉTAT,53,"SAINT-DIZIER, FRANCE",LACOSTE ,XS,2022-05-12 19:43:48.211181,Polo Lacoste bleu marine taille XS,29.0,"🐊 Polo Lacoste 🐊

📏 Taille XS
👕 Slim Fit
🎨 Couleur Bleu marine
✅ état 9/10
📦 Envoi sous 24h 
🤝🏼 Négociation possible 

Lavage et repassage avant envoi 😊 
N’hésitez pas à me contacter pour plus de renseignements 🔎"
49,TRÈS BON ÉTAT,25,"L'ISLE-D'ABEAU, FRANCE",LACOSTE ,S,2022-05-12 19:43:48.211183,T shirt Lacoste.,13.0,"T shirt Lacoste bleu, taille 
Il est en très bon état, pour plus d'informations n'hésitez pas."
50,TRÈS BON ÉTAT,3,FRANCE,LACOSTE ,15 ANS / 164-170 CM,2022-05-12 19:43:48.211186,T Shirt Lacoste,10.0,Porte Quelque Fois
51,TRÈS BON ÉTAT,238,"AIX-EN-PROVENCE, FRANCE",LACOSTE ,S,2022-05-09 19:43:48.211189,Tee shirt Lacoste,15.0,"🎁 -5% pour les abonnés 

👀Je t’invite à aller jeter un coup d'oeil dans mon
dressing, il y a sûrement quelque chose pour toi.

🏷Si tu est intéressé par un lot, pas de soucis,
je peux te faire une réduction!

ℹ️N'oublie pas de t'abonner
@Simonchelo13

🤷🏻Pas d'échange
📦Envoie sous 24H

Informations à propos de l’article : 
Parfait etat ✅
Aucuns trous ✅
Aucunes tâches ✅"
52,NEUF SANS ÉTIQUETTE,40,"NOGARA, ITALIA",LACOSTE ,M,2022-05-12 14:43:48.211192,T Shirt Lacoste taglia M,25.0,"T Shirt Lacoste taglia M, lavata e mai indossata."
53,NEUF AVEC ÉTIQUETTE,99,"SAINT-LOUP-DE-VARENNES, FRANCE",LACOSTE ,S / 36 / 8,2022-05-12 19:43:48.211195,Polo Lacoste,45.0,"Très joli polo Lacoste femme, bleu ciel.
Demi-manche, neuf avec étiquette. Jamais porté, en parfait état. 
Valeur en boutique : 95 euros."
54,TRÈS BON ÉTAT,103,FRANCE,LACOSTE ,XS,2022-05-02 19:43:48.211198,Tshirt Lacoste,25.0,"Taille : 14ans
Tshirt lacoste noir qui a servi peu de fois"
55,BON ÉTAT,29,FRANCE,LACOSTE ,6 ANS / 110-116 CM,2022-05-12 14:43:48.211201,T shirt Lacoste,4.0,Taille 8 ans mais convient mieux à un 6 ans. Bon état général sauf minuscules petits trous sur le col
56,TRÈS BON ÉTAT,72,"'S-HERTOGENBOSCH, NEDERLAND",LACOSTE SPORT ,L,2022-05-12 15:43:48.211204,Heren t-shirt lacoste,15.0,lacoste sport
57,TRÈS BON ÉTAT,53,"ALMERE, NEDERLAND",LACOSTE ,M,2022-05-12 19:43:48.211207,Lacoste t-shirt marinebauw,15.0,"Nooit gedragen,
Geen beschadigingen of vlekken"
