,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
58,NEUF SANS ÉTIQUETTE,27,"MALAUCÈNE, FRANCE",SHEIN ,M,2022-05-12 17:25:36.295468,T-shirt Shein,3.0,"Article neuf, jamais porté !"
59,NEUF SANS ÉTIQUETTE,28,"DEURNE, BELGIQUE / BELGIË",SHEIN ,L / 40 / 12,2022-05-11 20:25:36.295470,T-shirt van SHEIN,2.0,Niet gedragen
60,TRÈS BON ÉTAT,1,"TOULOUGES, FRANCE",SHEIN ,M / 38 / 10,2022-05-12 15:25:36.295473,T shirt shein m,4.5,T shirt shein m le bord des manches est élastique (avant don association merci de lire mon profil)
61,NEUF AVEC ÉTIQUETTE,2,BELGIQUE / BELGIË,SHEIN ,S / 36 / 8,2022-05-12 13:25:36.295475,SHEIN t-shirt rouge brique,8.0,neuf avec étiquette
62,NEUF SANS ÉTIQUETTE,5,FRANCE,SHEIN ,4XL / 48 / 20,2022-05-12 15:25:36.295478,T-shirt Shein taille 48,10.0,"T-shirt neuf, jamais porté
100 % coton"
63,TRÈS BON ÉTAT,25,FRANCE,SHEIN ,S,2022-05-09 17:25:36.295481,T-shirt beige Shein,5.0,"Porté seulement une fois et donc en très bonne état 
Ça ne se voit pas très bien sûr la photo mais il est bien beige/crème"
64,NEUF SANS ÉTIQUETTE,2,FRANCE,SHEIN ,XS / 34 / 6,2022-05-12 11:25:36.295487,T-shirt Shein T. XS,1.0,"T-shirt blanc inscription
T. XS
Neuf sans étiquette"
65,NEUF SANS ÉTIQUETTE,4,"LIVORNO, ITALIA",SHEIN ,M / 38 / 10,2022-05-12 11:25:36.295490,T-shirt shein arancio,2.0,"T shirt shein mai indossata, vendo per taglia errata"
66,BON ÉTAT,6,"GRENOBLE, FRANCE",SHEIN ,S / 36 / 8,2022-05-12 17:25:36.295492,T-shirt femme,8.0,"T-shirt femme
manche longue
blanc 
taille s/ 36
marque sheim 
manche crocheté"
67,TRÈS BON ÉTAT,2,"GRENOBLE, FRANCE",SHEIN ,M,2022-05-12 17:25:36.295494,T-shirt femme,8.0,"T-shirt femme
manche longue
 col rond
tissu extensibilité légère
viscose et elasthanne 
taille m (38)
gris"
68,TRÈS BON ÉTAT,324,"GRENOBLE, FRANCE",LE TEMPS DES CERISES ,,2022-05-12 17:25:36.295497,Ceinture femme,15.0,"ceinture femme
noir 90 cm de longueur
marque temps des cerises"
69,TRÈS BON ÉTAT,448,"GRENOBLE, FRANCE",KICKERS ,37,2022-05-12 17:25:36.295499,Chaussure femme,65.0,"Bottines en cuir de la marque kickers
zip centrale et latérale fonctionnel
lacet
cuir
noir
taille 37"
70,NEUF SANS ÉTIQUETTE,54,"GRENOBLE, FRANCE",ONLY ,M / 38 / 10,2022-05-12 17:25:36.295501,Pull marinière,28.0,"petit pull femme
style marinière blanc à rayures bleues
marque only
haut des manches bouffantes"
