,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
44,TRÈS BON ÉTAT,8,"LAGORD, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177561,T-shirt Missguided,4.0,"t-shirt col rond comme neuf très peu porte
taille S"
45,TRÈS BON ÉTAT,5,"ARCHAMPS, FRANCE",MISSGUIDED ,L / 40 / 12,2022-05-12 10:19:21.177563,Crop top Barbie,4.0,Porté peu de fois
46,TRÈS BON ÉTAT,63,"SARCELLES, FRANCE",MISSGUIDED ,XS / 34 / 6,2022-05-12 18:19:21.177566,T-shirt missguided noir,5.0,"Porté une fois, taille EU 32 mais correspond à un 34/36."
47,BON ÉTAT,58,"MONT-DE-MARSAN, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177568,Robe t-shirt Missguided,4.0,robe t-shirt Missguided
48,TRÈS BON ÉTAT,8,FRANCE,MISSGUIDED ,S,2022-05-12 18:19:21.177571,T-shirt courte manches longues . missguided,2.0,Très bon état taille 36
49,TRÈS BON ÉTAT,3,FRANCE,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177573,T-shirt blanc imprimé Missguided,3.0,"T-shirt blanc imprimé Missguided « Princess Tour »
Taille S
Porté une seule fois"
50,BON ÉTAT,15,"MIDSLAND, NEDERLAND",MISSGUIDED ,M,2022-05-12 18:19:21.177575,T-shirt Missguided,4.0,zwart T-shirt met print
51,BON ÉTAT,27,FRANCE,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177577,t-shirt blanc simple Missguided,5.0,t-shirt blanc simple Missguided épais pblanc
52,TRÈS BON ÉTAT,11,FRANCE,MISSGUIDED ,S,2022-05-12 18:19:21.177579,T-shirt Orange MissGuided,3.5,"- t-shirt orange manche courte basic 
- porté 1 seule fois pour occasion 
- aucun défaut
- taille 36"
53,TRÈS BON ÉTAT,3,"OEGSTGEEST, NEDERLAND",MISSGUIDED ,XL,2022-05-12 18:19:21.177582,missguided t-shirt,5.0,geef jij dit item een nieuw leven?
54,TRÈS BON ÉTAT,19,FRANCE,MISSGUIDED ,XS / 34 / 6,2022-05-12 18:19:21.177584,t shirt oversize de missguided,10.0,T-shirt oversize de chez missguided petite de couleur kaki
55,TRÈS BON ÉTAT,6,"BERGEN, BELGIQUE / BELGIË",MISSGUIDED ,S,2022-05-12 18:19:21.177586,robe t-shirt Missguided,5.0,jamais mise
56,NEUF SANS ÉTIQUETTE,1,FRANCE,MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177589,T Shirt Missguided,10.0,T shirt léger blanc. Taille 38/M. Avec fermeture sur l’avant. Cercle légèrement ouvert voir photo.
57,TRÈS BON ÉTAT,2,"ECKBOLSHEIM, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 10:19:21.177591,T-shirt Missguided,4.0,"Taille S 
Col rond 

(MM)"
58,NEUF SANS ÉTIQUETTE,209,FRANCE,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177594,T-shirt noir playboy missguided,5.0,"Collection playboy 
missguided 
jamais porté
T-shirt noir long"
59,NEUF AVEC ÉTIQUETTE,19,"MOULON, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-05 18:19:21.177596,Tee shirt noir Miss guided taille S,3.0,"tee shirt noir
miss guided
taille S"
60,NEUF SANS ÉTIQUETTE,19,"SAINT-CYR-L’ÉCOLE, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177599,T-shirt missguided,5.0,encore neuf
61,TRÈS BON ÉTAT,16,"VERDUN, FRANCE",MISSGUIDED ,XS / 34 / 6,2022-05-12 18:19:21.177601,"T Shirt Missguided blanc, col montant",4.0,XS / S / 34 / 36
62,TRÈS BON ÉTAT,69,"PARIS, FRANCE",MISSGUIDED ,M / 38 / 10,2022-05-12 18:19:21.177603,T-shirt court missguided,6.0,tour de cou et décolleté convient à un S
63,NEUF SANS ÉTIQUETTE,38,"BEAUVAIS, FRANCE",MISSGUIDED ,XS / 34 / 6,2022-05-12 18:19:21.177605,T-shirt Missguided,10.0,T-shirt Missguided oversize taille 34 neuf
