,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
46,TRÈS BON ÉTAT,51,"HEUSDEN-ZOLDER, BELGIQUE / BELGIË",PAUL SMITH ,S,2022-05-08 19:46:51.950907,blue/beige striped poloshirt Paul Smith,15.0,"very good condition

fits like a small

I’m 179cm & 75kg"
47,TRÈS BON ÉTAT,29,"BRUXELLES, BELGIQUE / BELGIË",PAUL SMITH ,S / 36 / 8,2022-05-12 19:46:51.950909,Tee-shirt Paul Smith,15.0,Porté une fois. Taille: s
48,TRÈS BON ÉTAT,15,FRANCE,PAUL SMITH ,M,2022-05-09 19:46:51.950912,T-shirt Paul smith,10.0,Paul smith
49,SATISFAISANT,18,"WERVIK, BELGIQUE / BELGIË",PAUL SMITH ,XL / 42 / 14,2022-05-12 09:46:51.950914,T shirt Paul Smith,2.0,"klein gaatje, gestopt maar zie je niet bij dragen"
50,TRÈS BON ÉTAT,1,"MALZÉVILLE, FRANCE",PAUL SMITH ,5 ANS / 104-110 CM,2022-05-12 17:46:51.950917,T shirt Paul Smith,8.0,Superbe t shirt de la marque Paul Smith avec un dinosaure 🦖 sur le devant qui plait beaucoup aux enfants. Taille : 5 ans. Très bon état car très peu porté.
51,TRÈS BON ÉTAT,31,FRANCE,PAUL SMITH ,5 ANS / 104-110 CM,2022-05-05 19:46:51.950920,T shirt Paul Smith,12.0,joli Shirt Paul Smith
52,TRÈS BON ÉTAT,47,"CHAUMONT, FRANCE",PAUL SMITH ,XL,2022-05-09 19:46:51.950922,Tee-shirt Paul Smith,15.0,"T-shirts Paul Smith
Noir
Taille XL
Très bon état"
53,TRÈS BON ÉTAT,19,"CANNES, FRANCE",PAUL SMITH ,10 ANS / 134-140 CM,2022-05-07 19:46:51.950925,Tee shirt manches longues,5.0,Paul smith en parfait état
54,BON ÉTAT,13,"SAINT-MAUR-DES-FOSSÉS, FRANCE",PAUL SMITH ,12 ANS / 146-152 CM,2022-05-07 19:46:51.950927,T shirt Paul Smith 12 ans,5.5,"Original
Bon état"
55,TRÈS BON ÉTAT,13,"REIMS, FRANCE",PAUL SMITH ,12 ANS / 146-152 CM,2022-05-01 19:46:51.950930,T shirt paul smith 12 ans,8.0,"t-shirt
Paul smith 12 ans"
56,TRÈS BON ÉTAT,14,"BÉTHENY, FRANCE",PAUL SMITH ,10 ANS / 134-140 CM,2022-05-12 19:46:51.950932,T shirt Paul Smith 10 ans,12.0,"Excellent état
Peu porté
Coton"
57,NEUF AVEC ÉTIQUETTE,38,"PARIS, FRANCE",PAUL SMITH ,M,2022-05-10 19:46:51.950935,Tee shirt Paul Smith,25.0,Tee shirt en parait état jamais porté
