,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
36,TRÈS BON ÉTAT,46,"BERLAAR, BELGIQUE / BELGIË",ADIDAS ,M,2022-05-12 18:01:35.291828,Vintage 00s Adidas T-shirt 💥,15.0,"Embroidered logo on the chest. Brown colourway.

Measurements:
Top to bottom: 66cm
Pit to pit: 55cm"
37,BON ÉTAT,1,FRANCE,ADIDAS ,S,2022-05-12 20:01:35.291831,Adidas,5.0,T-shirt sport taille s
38,BON ÉTAT,4,FRANCE,ADIDAS ,S,2022-05-12 20:01:35.291834,Adidas,5.0,"T-shirt taille s 
Petits bouts de fils tirés qui ne se voient pas photo"
39,TRÈS BON ÉTAT,100,FRANCE,NIKE ,10 ANS / 134-140 CM,2022-05-12 20:01:35.291837,Nike dri-fit,3.0,T-shirt taille M enfant taille 137/147
40,TRÈS BON ÉTAT,231,FRANCE,M&S MODE ,XL / 42 / 14,2022-05-12 20:01:35.291840,Jupe Ms mode,4.0,Jupe jeans taille 42
41,TRÈS BON ÉTAT,73,FRANCE,H&M ,S / 36 / 8,2022-05-12 20:01:35.291842,Débardeur,3.0,Débardeur 🌸 très peu porté
42,TRÈS BON ÉTAT,5,FRANCE,ADIDAS ,M / 38 / 10,2022-05-10 20:01:35.291846,Tee-shirt Adidas,8.0,Tee-shirt manche courte
43,TRÈS BON ÉTAT,123,"A CORUÑA, ESPAÑA",ADIDAS ,L,2022-05-07 20:01:35.291849,Camiseta Adidas,14.0,"Usada en pocas ocasiones, sin defectos.
Adidas Original.
Talla L"
44,NEUF AVEC ÉTIQUETTE,81,"MANTES-LA-JOLIE, FRANCE",ADIDAS ,S / 36 / 8,2022-04-22 20:01:35.291852,Tee-shirts Adidas,17.0,"#adidas
100% coton
Taille S
J’en possède un autre en noir , je fais les 2 tee-shirts à 30€"
45,TRÈS BON ÉTAT,16,"GUIMARÃES, PORTUGAL",ADIDAS ,L,2022-05-12 20:01:35.291856,T-shirt Adidas Branca,7.5,"usada 2x, como nova. original. L de mulher, serve a S de homem."
