,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
36,NEUF AVEC ÉTIQUETTE,30,"ROSNY-SOUS-BOIS, FRANCE",PRETTYLITTLETHING ,S / 36 / 8,2022-05-06 17:29:20.706775,Tee shirt plt neuf,9.0,"jamais porté 
en parfait état taille S 
envoie rapide 😊"
37,NEUF SANS ÉTIQUETTE,116,"MADRID, ESPAÑA",VIOLETA BY MANGO ,4XL / 48 / 20,2022-05-12 17:29:20.706777,Camiseta fucsia marca Violeta,7.0,"Camiseta manga corta Fucsia, fluida, marca Violeta by Mango.Nueva sin etiquetas . Cuello pico.
#camisetamangacorta 
#cuellopico 
#tshirt
#maglietta 
#colenv 
#scolloav"
38,BON ÉTAT,28,"MADRID, ESPAÑA",LEVI'S ,M / 38 / 10,2022-04-26 17:29:20.706780,Camiseta corta bordada Levis,16.0,"camiseta blanca bordada Levis . buen estado. 
Fotos recientes.
#casual 
#croptop 
#levis 
#camiseta 
#top 
#tshirt 
#maglietta"
39,TRÈS BON ÉTAT,66,"MADRID, ESPAÑA",ELENA MIRO ,5XL / 50 / 22,2022-04-29 17:29:20.706782,Camiseta estampada Elena Miro,25.0,"Camiseta Fluida Elena Miro. Muy buen estado poco uso. Medidas : de axila a axila 58 cm aprox. y de largo 66 cm aprox.
#camiseta 
#casual
#tshirt 
#maglietta"
40,SATISFAISANT,15,"MADRID, ESPAÑA",PULL & BEAR ,M / 38 / 10,2022-05-12 17:29:20.706785,Camiseta corta degradado azul blanco rosa,3.0,"camiseta crop de pull and bear . azul blanca y rosa .Desgastada del uso sin taras reseñable . 
#camiseta 
#tshirt 
#croptop 
#maglietta"
41,TRÈS BON ÉTAT,31,"MADRID, ESPAÑA",GAP ,XL / 42 / 14,2022-05-12 17:29:20.706787,Camiseta manga corta marrón chocolate Gap,2.0,"camiseta mujer manga corta , Gap, color marrón chocolate, buen estado.
#camiseta 
#camisetamangacorta 
#camisetamarron 
#gap 
#tshirt"
42,TRÈS BON ÉTAT,36,FRANCE,PRETTYLITTLETHING ,M / 38 / 10,2022-05-07 17:29:20.706790,Tshirt,1.0,#T38_jaidustyle
43,NEUF SANS ÉTIQUETTE,33,FRANCE,PRETTYLITTLETHING ,M / 38 / 10,2022-04-29 17:29:20.706792,Tee shirt de sport moulant sans coutures,5.0,"neuf 
taille M
matiere stretch qui s’adapte aux formes"
44,NEUF SANS ÉTIQUETTE,62,"STRASBOURG, FRANCE",PRETTYLITTLETHING ,S / 36 / 8,2022-04-23 17:29:20.706795,T-shirt,3.0,Tous les vêtements seront lavés et repassés avant chaque envoi.
45,NEUF SANS ÉTIQUETTE,10,"IVRY-SUR-SEINE, FRANCE",PRETTYLITTLETHING ,M / 38 / 10,2022-05-10 17:29:20.706797,T-shirt,5.0,t-shirt rose de chez PrettyLittleThing en taille M sans étiquette
