,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
38,TRÈS BON ÉTAT,147,FRANCE,TOMMY HILFIGER ,,2022-05-12 20:06:41.280355,Joli sac Tommy Hilfiger 🖤,28.0,"Joli sac noir, excellent état, mesure 20cmx21cm"
39,TRÈS BON ÉTAT,17,FRANCE,TOMMY HILFIGER ,S / 36 / 8,2022-05-08 20:06:41.280358,Joli sweat mixte Tommy Hilfiger taille 36 🤍,25.0,"Sweat Tommy en excellent état 
Couleur gris 
Mixte pour homme et femme"
40,NEUF AVEC ÉTIQUETTE,17,FRANCE,TOMMY HILFIGER ,S / 36 / 8,2022-05-10 20:06:41.280361,Joli pantalon jeans Tommy Hilfiger taille 34-36,30.0,"Pantalon Tommy Hilfiger neuf 
Mesure à la taille 36 cm 
La longueur totale du pantalon 98cm
La longueur entrejambe 74cm"
41,TRÈS BON ÉTAT,915,FRANCE,VINTAGE ,M / 38 / 10,2022-05-12 20:06:41.280363,Jolie robe en maille fine vintage taille 38-40,19.0,"Jolie robe vintage, fluide, stretch, mesure d'aisselle à aisselle 40cm et la longueur totale de la robe 113cm, excellent état, doublure satinée de même couleur à partir de la taille, pas d'étiquette de taille sur la robe. Taille correctement, élastique à la taille comme précisé sur les dernières photos ."
42,TRÈS BON ÉTAT,14,"BOIS-GRENIER, FRANCE",TOMMY HILFIGER ,12 ANS / 146-152 CM,2022-05-12 20:06:41.280366,tee-shirt Tommy Hilfiger,8.0,"tee-shirtTommy Hilfiger, 
taille 12 ans, 
très bon état.


#tommyhilfiger #hilfiger #marinière"
43,TRÈS BON ÉTAT,21,"SAINT-VENANT, FRANCE",TOMMY HILFIGER ,XS / 34 / 6,2022-05-12 20:06:41.280368,T-shirt Tommy-Hilfiger,4.0,"T-shirtTommy Hilfiger 
Très peu porté 
Taille Xs 
Légèrement transparent
N’hésitez pas pour plus d’info"
44,BON ÉTAT,15,"BORNE, NEDERLAND",,6 ANS / 110-116 CM,2022-05-12 20:06:41.280370,"ShirtTommy Hilfiger, maat 126",3.5,kan nog goed een ronde mee!!!
45,TRÈS BON ÉTAT,75,"VERN-SUR-SEICHE, FRANCE",TOMMY HILFIGER ,L,2022-05-12 20:06:41.280372,Sweat-shirtTommy Hilfiger,25.0,très bon état.
46,TRÈS BON ÉTAT,18,"HEIST-OP-DEN-BERG, BELGIQUE / BELGIË",TOMMY HILFIGER ,14 ANS / 158-164 CM,2022-05-07 20:06:41.280375,Grijze t shirtTommy Hilfiger maat 164 = 14 jaar,5.0,"Tof! 
Merk tommy hilfger"
47,TRÈS BON ÉTAT,8,"SAINTES, FRANCE",TOMMY HILFIGER ,M,2022-05-12 20:06:41.280377,T-shirtTommy Hilfiger violet clair,7.0,en très bon état
48,BON ÉTAT,38,"SAINT-LAURENT-DE-LA-SALANQUE, FRANCE",TOMMY HILFIGER ,L,2022-05-12 20:06:41.280380,T-shirt tommy,20.0,t-shirttommy blanc a écriture colorer
49,TRÈS BON ÉTAT,38,FRANCE,TOMMY HILFIGER ,L,2022-05-12 20:06:41.280382,Tee Shirt Tommy hilfiger,15.0,Tee Shirttommy hilfiger en bonne état
50,TRÈS BON ÉTAT,11,"THOUARÉ-SUR-LOIRE, FRANCE",TOMMY HILFIGER ,M,2022-05-12 20:06:41.280384,T-shirtTommy Jeans Noir,12.0,"porte quelque fois, excellent état Tshirt Tommy Hilfiger noir avec insertion écriture « Tommy Jeans »"
