,brand,incidence
843,Diamond Painting,11163
844,diset,11123
845,Dunelm,10970
846,D.D. Step,10717
847,Dreambaby,10572
848,Devil Child,10512
849,Darling,10398
850,De Fursac,10399
851,Didriksons,10355
852,Demar,10163
853,Dissident,10144
854,Des Filles à la Vanillé,10131
855,dilling,10141
856,Done by Deer,10104
857,Difrax,10017
858,Deeluxe 74,9903
859,Danskin,9851
860,DREAM,9803
861,Dries van Noten,9763
862,Diane Laury,9573
863,Deuter,9545
864,Danefae,9188
865,Donnay,9135
866,Donna Karan,9066
867,DIGEL,9007
868,DORINA,8920
869,d´Auvry,8713
870,Douceur d'interieur,8638
871,Dadati,8438
872,Defi Mode,8371
873,DécoTime,8394
874,Dandara,8323
875,Dombi,8290
876,Dunnes,8325
877,Dove,8172
878,Dolly Wears,8172
879,Diana Gallesi,8113
880,Denim Collection,7979
881,D.Franklin,7923
882,Dope,7828
883,DELSEY,7748
884,Dedoles,7719
885,Dreimaster,7494
886,DJ DUTCHJEANS,7495
887,Desires,7276
888,DEEPLY,7255
889,derek heart,7227
890,Dreambee,7163
891,D.A.T.E.,7104
892,Daim,7060
893,Delaveine,7014
894,Dr. Pierre Ricaud,6974
895,Diamantique,6936
896,Diptyque,6905
897,DOGNOSE,6883
898,DUNS Sweden,6856
899,de Bijenkorf,6799
900,Deborah Milano,6757
901,Double Face,6589
902,Doppelgänger,6590
903,DOC,6561
904,Kern,6512
905,Deerberg,6509
906,DeAgostini,6539
907,dkode,6504
908,Delousion,6447
909,DOU DOU,6435
910,Danhen,6456
911,Designer`s,6387
912,Didier Parakian,6373
913,domiva,6343
914,Didymos,6332
915,Doremi,6249
916,Double Jeu,6235
917,Danic,6212
918,desirée,6193
919,Ducky Beau,6160
920,DAY,6105
921,Dana Schweiger,6102
922,Dolls,6042
923,Dune London,6007
924,Dorado,5821
925,Down Up,5800
926,Domino,5802
927,Diabless,5772
928,DUO,5763
929,De Paris,5751
930,Dreamstar,5735
931,Dolomite,5725
932,Dorabella,5705
933,Don Algodon,5703
934,DUDU,5702
935,Dag Adom,5677
936,Divine Follie,5574
937,Dorothee Schumacher,5570
938,Dancing Leopard,5600
939,DELVAUX,5553
940,Dickie Toys,5529
941,Denim 1982,5525
942,D&S Fashion,5493
943,Develab,5481
944,Denim Life,5482
945,Dospies,5473
946,Duarig,5429
947,DADA,5423
948,Delmod,5403
949,Divine,5400
950,Dolcis,5403
951,District,5348
952,Esprit,3039413
953,Etam,2273273
954,Esmara,778793
955,EDC by Esprit,691559
956,Ergee,537961
957,El Corte Inglés,425048
958,Ellesse,382658
959,Ernsting's family,192880
960,Eastpak,190495
961,Even&Odd,186779
962,Easy Wear,171539
963,Emporio Armani,149805
964,Eleven Paris,142388
965,Elefanten,132226
966,Elisabetta Franchi,128438
967,Early Days,119186
968,Energetics,111564
969,Eden Park,109885
970,Element,109112
971,Etirel,92863
972,Essentiel,90372
973,ECCO,79728
974,Envie de Fraise,78053
975,ELLE,65269
976,Eldys,62485
977,Engelbert Strauss,58118
978,Easy Clothes,55616
979,Escada,52653
980,eksept,52298
981,Elite,52071
982,Extenso,51254
983,Etsy,51320
984,Empik,49651
985,Educa,47537
986,Everlast,47470
987,Estée Lauder,45400
988,Essentiel Antwerp,44531
989,ELORA,42379
990,Ergobaby,40615
991,Expresso,39311
992,EL GANSO,38908
993,Express,36714
994,Energie,36607
995,EMP,36639
996,Essence,35462
997,Emoji,32872
998,Encuentro,32708
999,Equi Théme,31724
1000,Etro,30780
1001,Enrico Coveri,30414
1002,Evans,30403
1003,Eat Ants,29628
1004,Emidio Tucci,29170
1005,EGO,29057
1006,Europe Kids,28239
1007,Espadrilles,27500
1008,Ekyog,27262
1009,Essentials,24691
1010,Erima,23893
1011,Elena Miro,23724
1012,Ed Hardy,23482
1013,Eliane et Lena,23182
1014,Eva & Lola,22754
1015,Emma & Ella,22356
1016,Enjoy,22150
1017,eden,21019
1018,Edited,20182
1019,Enchantimals,20155
1020,Ellos,19932
1021,Elizabeth Stuart,19531
1022,E-vie,19493
1023,Erreà,19261
1024,Et Compagnie,19016
1025,Eterna,18765
1026,Engel,18201
1027,Ecoiffier,18013
1028,emo.i,17579
1029,Eight2Nine,17075
1030,EDJI,17047
1031,El Naturalista,16762
1032,Eider,16486
1033,Elogy,16488
1034,Eichhorn,16232
1035,endo.,16007
1036,Encore,15712
1037,Extyn,15608
1038,Elisa Cavaletti,15467
1039,Elodie Details,15225
1040,Eric Bompard,15171
1041,ERYNN,14959
1042,Eksept by Shoeby,14941
1043,EA,14968
1044,Eseoese,14734
1045,Emoi by Emonite,14568
1046,Editions Atlas,14266
1047,Emu,14135
1048,Elle est où la Mer,14077
1049,Escandelle,13814
1050,Eros,13611
1051,Enzoria,13463
1052,Esotiq,13495
1053,Eternel,13377
1054,Evita,13197
1055,Edwin,13151
1056,E-Bound,13003
1057,Ema blues,12946
1058,Etnies,12911
1059,Elégance,12883
1060,Ermenegildo Zegna,12851
1061,Essie,12750
1062,EDEIS.,12710
1063,EMO,12681
1064,Emma Pernelle,12346
1065,Exquiss's,12098
1066,Ermanno Scervino,12076
1067,Emel,11996
1068,ellepi,11870
1069,elli white,11653
1070,Epop,11570
1071,Ella,11442
1072,Egree,11382
1073,Easy,11396
1074,EUROPA,11143
1075,Elsy,11054
1076,Episode,10866
1077,Et Vous,10868
1078,Eckö,10846
1079,EIGHT PARIS,10758
1080,Esther,10653
1081,Eva Kayan,10463
1082,Eddie Bauer,10345
1083,Ever Pretty,10359
1084,Elemis,10257
1085,Exé,10113
1086,ELEMENTS,9950
1087,Emilio Pucci,9932
1088,El,9831
1089,Exclusive,9607
1090,Emile et Ida,9579
1091,ever.me,9563
1092,Eres,9371
1093,Eden et Victor,9310
1094,Ernest,9273
1095,El Nino,9260
1096,EsQualo,9127
1097,Ea Games,9118
1098,Evisu,9116
1099,Elizabeth Arden,8736
1100,Envy,8706
1101,e(x)it,8567
